OBJECTID,FEATURE,DATE_MOD,OWNER,OWNER_NAME,OPERATOR,CLASS,LINE_NAME,RR_TYPE1,RR_TYPE2,RR_TYPE3,GDB_SUBTYP,GISCODE,Subdivisio,MP_From,MP_To,Direction,Station_To,Station__F,Comments,Trk_Name,HAUL_RIGHT,TRACK_RIGH,STRACNET,ELECTRIFIC,WEIGHT_LIM,PARENT_CO,BUS_FID_Le,ShapeSTLength
111,Siding,2006-04-20T00:00:00.000Z,LIRR,Long Island Rail Road,LIRR,3,MONTAUK BRANCH,C3,NA,NA,1,n/a,Montauk,0,0,n/a,n/a,n/a, ,Industrial Siding,n/a,NYAR,N,N,263,Metropolitan Transportation Authority,315.47648891,1034.96922422077
112,Siding,2006-04-20T00:00:00.000Z,LIRR,Long Island Rail Road,LIRR,3,MONTAUK BRANCH,C3,NA,NA,1,n/a,Montauk,0,0,n/a,n/a,n/a, ,Industrial Siding,n/a,NYAR,N,N,263,Metropolitan Transportation Authority,272.00653098,892.359039696966
113,Yard,2006-04-20T00:00:00.000Z,LIRR,Long Island Rail Road,LIRR,3,SPEONK YARD,COMM,NA,NA,2,n/a,Montauk,0,0, , , , ,Track 5,n/a,NYAR,N,N,263,Metropolitan Transportation Authority,353.23762327,1158.83536595398
114,Yard,2006-04-20T00:00:00.000Z,LIRR,Long Island Rail Road,LIRR,3,SPEONK YARD,COMM,C3,NA,3,n/a,Montauk,0,0, , , , ,Track 1,n/a,NYAR,N,N,263,Metropolitan Transportation Authority,443.81104823,1455.9712126338
115,MultipleTrack,2006-04-20T00:00:00.000Z,LIRR,Long Island Rail Road,LIRR,3,MONTAUK BRANCH,COMM,C3,NA,3,54,Montauk,0,115.09999847,East,Montauk,Penn Station, ,Single Main,n/a,NYAR,N,N,263,Metropolitan Transportation Authority,1001.52628439,3285.37743250717
116,MultipleTrack,2006-04-20T00:00:00.000Z,LIRR,Long Island Rail Road,LIRR,3,MONTAUK BRANCH,COMM,C3,NA,3,n/a,Montauk,0,115.09999847,East,Montauk,Penn Station, ,ND Siding,n/a,NYAR,N,N,263,Metropolitan Transportation Authority,1001.82011681,3286.34130828538
117,Yard,2006-04-20T00:00:00.000Z,LIRR,Long Island Rail Road,LIRR,3,SPEONK YARD,COMM,NA,NA,2,n/a,Montauk,0,0, , , , ,Track 6,n/a,NYAR,N,N,263,Metropolitan Transportation Authority,311.49067633,1021.87992819481
118,Yard,2006-04-20T00:00:00.000Z,LIRR,Long Island Rail Road,LIRR,3,SPEONK YARD,COMM,NA,NA,2,n/a,Montauk,0,0, , , , ,Track 7,n/a,NYAR,N,N,263,Metropolitan Transportation Authority,170.36525583,558.902343360879
119,Yard,2006-04-20T00:00:00.000Z,LIRR,Long Island Rail Road,LIRR,3,SPEONK YARD,COMM,C3,NA,3,n/a,Montauk,0,0, , , , ,Track 3,n/a,NYAR,N,N,263,Metropolitan Transportation Authority,172.86863716,567.114977912051
120,Yard,2006-04-20T00:00:00.000Z,LIRR,Long Island Rail Road,LIRR,1,SPEONK YARD,COMM,C3,NA,3,n/a,Montauk,0,0, , , , ,Tail,n/a,NYAR,N,N,263,Metropolitan Transportation Authority,85.59403988,280.800625687987
121,Yard,2006-04-20T00:00:00.000Z,LIRR,Long Island Rail Road,LIRR,3,SPEONK YARD,COMM,C3,NA,3,n/a,Montauk,0,0, , , , ,East Wye,n/a,NYAR,N,N,263,Metropolitan Transportation Authority,239.07594859,784.315194477382
